tmdb_id,name,headquarters,homepage,logo_path,origin_country
110706,Raemongraein,"Gangnam, Seoul, South Korea",http://www.raemongraein.co.kr/,,KR
7653,Zininsa Film Production,,,,
168963,CNK International,"North Gyeongsang Province, South Korea",http://www.cnkinternational.co.kr/,,KR
116360,Monster Union,"Mapo, Seoul, South Korea",http://monsterunion.co.kr,https://image.tmdb.org/t/p/original/AfvZsh1ImHqATwF6LCUz7QLcS4g.png,KR
26511,MBC,"Mapo, Seoul, South Korea",http://imbc.com/,https://image.tmdb.org/t/p/original/muK9W0KLV8KfEnR7MYu0YpfpdnO.png,KR
126931,Playlist,"Gangnam, Seoul, South Korea",http://playliststudio.kr/,https://image.tmdb.org/t/p/original/9tzpVbhQGiRP5U8BykqoI7c8a3q.png,KR
147970,Studio Invictus,,,,KR
173594,PLUSMedia Entertainment,,,,KR
144923,Production KEZR,,,,KR
129217,Big Punch Pictures,,,,KR
70918,Studio 605,,,,
147577,YG Studioplex,,,,KR
112824,Studio Santa Claus Entertainment,"Seongdong, Seoul",http://studiosantaent.com/,,KR
158201,Merrycow Creative,,,,
160031,tvN D STUDIO,,,,
113584,Acemaker Movieworks,Seoul,http://www.acemaker.co.kr,https://image.tmdb.org/t/p/original/8BSD4OLpa5DnXdXYX4jwf5cyb6D.png,KR
116612,GTist,"Mapo, Seoul, South Korea",,,KR
86763,Hwarang SPC,,,,
149893,The Great Show,,,,KR
138782,W-STORY Channel,,http://www.w-story.kr,https://image.tmdb.org/t/p/original/hQXJ79aRXkDaBSb1CDFFEIjEOpm.png,KR
61641,Kangho Production,,,,
165259,IMTV,,http://www.imtv21.co.kr,,KR
161312,ateod,,,,
115708,Jidam Inc.,,,,
109849,webdramaBOX,,,,
140692,Baram Pictures,"Mapo, Seoul, South Korea",,,KR
3491,Showbox,"Gangnam, Seoul, South Korea",http://www.showbox.co.kr/english/,https://image.tmdb.org/t/p/original/uKP7h0WRYRK3jAWqrlohB6hO4pk.png,KR
